mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat,term,model,data,index,seed,true_value,filename,nsam
1.0371396683400755,4.8022218127583043e-4,0.023317184859908864,0.9928917244294374,1.0210178309556326,1.036336822607311,1.0528639872986427,1.0845051174547444,2357.587387618397,1.000077930801845,relative_fitness,alex-modified,meas-error,1,20191025,1,alex-modified--meas-error--50sims,1000
1.0766941387105629,5.998229361544187e-4,0.02547433096631169,1.0264690255656659,1.0597669193988137,1.0769600930771426,1.0937367013941504,1.1280010549789579,1803.6797816859475,0.9995091031857403,relative_fitness,alex-modified,meas-error,2,20191026,1,alex-modified--meas-error--50sims,1000
1.0239643721612668,6.23332999278574e-4,0.023750108326824414,0.9782839959395057,1.0076094475639283,1.0234930397818514,1.0405392286738366,1.0703814281351611,1451.7470477012696,1.0003668307566043,relative_fitness,alex-modified,meas-error,3,20191027,1,alex-modified--meas-error--50sims,1000
1.0456332633058691,5.555473081958399e-4,0.02396488414688486,1.0002317024646026,1.0296049015121684,1.0453101193458842,1.0619215328493596,1.09330794497176,1860.8380266344946,1.0030802664397234,relative_fitness,alex-modified,meas-error,4,20191028,1,alex-modified--meas-error--50sims,1000
1.0341432582017,5.663622863074576e-4,0.024256169365637622,0.9871385612572225,1.0178645755911613,1.0337180635818273,1.0504546763269564,1.0836610784415421,1834.2383957992731,1.0026164723523951,relative_fitness,alex-modified,meas-error,5,20191029,1,alex-modified--meas-error--50sims,1000
0.9804621956650473,5.068191041585418e-4,0.022588630971736898,0.9370874711338968,0.9651992082132992,0.98037957461767,0.9956355092493224,1.0248165422430995,1986.4327514313345,0.9993497416307787,relative_fitness,alex-modified,meas-error,6,20191030,1,alex-modified--meas-error--50sims,1000
1.0165862740890002,4.963942375701189e-4,0.023315257302855292,0.9720735093062871,1.0005347827592017,1.0161001318666933,1.032422442117944,1.0621987128379276,2206.108980806269,0.9993790088974593,relative_fitness,alex-modified,meas-error,7,20191031,1,alex-modified--meas-error--50sims,1000
0.9949806774527113,5.566115729347069e-4,0.022763387296485457,0.9516907777426907,0.9795193802002163,0.9946471235359571,1.0104358509804727,1.0410164135221358,1672.5122655965192,1.002592894453058,relative_fitness,alex-modified,meas-error,8,20191032,1,alex-modified--meas-error--50sims,1000
1.0506751099895815,5.280229330853751e-4,0.024056763747341187,1.002220337248358,1.034440464314684,1.05051406470359,1.0673751331245667,1.0977382402586733,2075.720315667008,1.0000206176139688,relative_fitness,alex-modified,meas-error,9,20191033,1,alex-modified--meas-error--50sims,1000
1.032980651405464,5.124799977293488e-4,0.023570373848326286,0.9883489076425231,1.0165915123530005,1.032624334867055,1.0488850418216973,1.0798629528364327,2115.3347456574543,1.0017484702488688,relative_fitness,alex-modified,meas-error,10,20191034,1,alex-modified--meas-error--50sims,1000
0.9723863033709403,5.581066511542168e-4,0.022599307610946348,0.9289189210958683,0.9569735594379062,0.9721673138999167,0.9875630097801196,1.0177722526590673,1639.6678105799365,1.0012330267160718,relative_fitness,alex-modified,meas-error,11,20191035,1,alex-modified--meas-error--50sims,1000
1.0522102776370776,5.436957916762331e-4,0.023707759459720333,1.0069139509114995,1.0362303989272148,1.0519851848826185,1.0687963810943024,1.0980362865841742,1901.3807007948735,1.0037710598767684,relative_fitness,alex-modified,meas-error,12,20191036,1,alex-modified--meas-error--50sims,1000
1.0326806284529644,6.013736627305757e-4,0.02395312047593665,0.9864974069316796,1.0164366909868283,1.0324822473824553,1.0489099522652467,1.0787691606601248,1586.4828778875644,1.0016022503244284,relative_fitness,alex-modified,meas-error,13,20191037,1,alex-modified--meas-error--50sims,1000
1.0019215559811543,4.940057075267393e-4,0.02357162043822631,0.9567851447552209,0.9857042119049017,1.0018005546165552,1.0176509666290163,1.0486510771762103,2276.747903363842,1.0013215113516407,relative_fitness,alex-modified,meas-error,14,20191038,1,alex-modified--meas-error--50sims,1000
0.991155552576005,5.02066538584699e-4,0.023237086418156788,0.9463488241904306,0.9755545287684108,0.9905803584042752,1.0067358582828325,1.0372222815789893,2142.105176678333,1.000130879373243,relative_fitness,alex-modified,meas-error,15,20191039,1,alex-modified--meas-error--50sims,1000
1.0557638185352352,5.916737211869976e-4,0.024457468809006216,1.009537301263048,1.038538829072034,1.0556263625560147,1.072809136932054,1.1040731574345355,1708.6710257729744,1.000163029758978,relative_fitness,alex-modified,meas-error,16,20191040,1,alex-modified--meas-error--50sims,1000
0.9902641382360825,5.312819075059951e-4,0.023718810800147518,0.9444944259285545,0.9742080903118342,0.9902809366186633,1.0060443502736844,1.0376037183838405,1993.130654299913,0.9995695197819355,relative_fitness,alex-modified,meas-error,17,20191041,1,alex-modified--meas-error--50sims,1000
1.050014073263134,5.346481653412137e-4,0.023620027894952274,1.0043267556444848,1.0336486582911155,1.0498706660012296,1.0657343540947786,1.0965577063104341,1951.7520788335235,0.9997248004916257,relative_fitness,alex-modified,meas-error,18,20191042,1,alex-modified--meas-error--50sims,1000
0.9773693354296273,5.622846197684824e-4,0.023563698695470557,0.9312257637830305,0.9615959198109696,0.9773128324660223,0.9928918316455227,1.0231404258484282,1756.202184312929,0.9998314030429055,relative_fitness,alex-modified,meas-error,19,20191043,1,alex-modified--meas-error--50sims,1000
1.049734239504585,4.944660274963013e-4,0.02357393975935964,1.0019340736680213,1.0341958139504275,1.0497867178159335,1.0653030772884902,1.0955349728673234,2272.9580566485192,0.9995921551870239,relative_fitness,alex-modified,meas-error,20,20191044,1,alex-modified--meas-error--50sims,1000
