mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat,term,model,data,index,seed,true_value
1.0159328720765772,5.49584052038875e-4,0.0293024136567429,0.9587756464880268,0.9954258218585834,1.0159445468489,1.0363606498422933,1.072643487924947,2842.749201940928,1.000855395082283,relative_fitness,no-meas-error,no-meas-error,1,20191025,1
5.171486865390157,0.004045281096091822,0.2024704815043371,4.778628807629951,5.036999451462225,5.168763870104682,5.306516662102593,5.571355038801473,2505.105505213272,1.0007870919365593,kappa,no-meas-error,no-meas-error,1,20191025,5
1.016818100829967,5.418263150538549e-4,0.02954286458195592,0.9594760905632413,0.996940500817554,1.0169482310387903,1.037108908288193,1.0755261822670306,2972.9323038675484,1.000377432706919,relative_fitness,no-meas-error,no-meas-error,2,20191026,1
4.8123571434215435,0.0034303820104494356,0.18888695079144716,4.45176776710676,4.6820907169995625,4.807937168390774,4.940260677521568,5.185651921844273,3031.928387875643,0.9999016039359961,kappa,no-meas-error,no-meas-error,2,20191026,5
0.9779734952854204,5.917042655994389e-4,0.029503535405418974,0.920244986154872,0.9586787645033614,0.9781922394019813,0.9980868744912013,1.034972303365358,2486.2152205902694,1.0003806358889256,relative_fitness,no-meas-error,no-meas-error,3,20191027,1
4.927597404987152,0.004109806062383846,0.19792190970040882,4.5412975673253335,4.796802010456934,4.925588896756889,5.060446609867406,5.323030622369804,2319.2367736060487,1.0006831963143166,kappa,no-meas-error,no-meas-error,3,20191027,5
1.0082449169089096,5.947879891362073e-4,0.03023547440447615,0.9483878748091753,0.9882205963769415,1.007906164913547,1.0283772785445768,1.0686951156590876,2584.099276278517,1.0004443113560777,relative_fitness,no-meas-error,no-meas-error,4,20191028,1
4.836162633310803,0.0038982607800334434,0.1907845532631687,4.4752053091792465,4.705400679169376,4.832485571840476,4.9601034498915215,5.225028310459464,2395.2157668535306,1.0002202535673903,kappa,no-meas-error,no-meas-error,4,20191028,5
1.0096204371979962,5.371515972470546e-4,0.028511477398148622,0.9535908569734667,0.9906501018196343,1.009101182351237,1.028963427506872,1.064950839582317,2817.3817761753485,1.0002567095622732,relative_fitness,no-meas-error,no-meas-error,5,20191029,1
5.08360989154206,0.004431272501795355,0.19968522971548458,4.685536271650492,4.9483457275919775,5.083159454771126,5.2197921454497855,5.477241981635615,2030.6495010354927,1.0008148926465912,kappa,no-meas-error,no-meas-error,5,20191029,5
0.9662451419823257,5.761465226846509e-4,0.02933621239888273,0.9094171676234296,0.9457326460239517,0.9662464015679267,0.9855923112618729,1.0238399027805754,2592.6398529604676,0.999861224223221,relative_fitness,no-meas-error,no-meas-error,6,20191030,1
4.875101570905865,0.0036573831915782734,0.19165942900599542,4.508957773055919,4.747591791811784,4.873254263925723,4.993061732611309,5.262943086931147,2746.1196174111838,0.9999176607497393,kappa,no-meas-error,no-meas-error,6,20191030,5
0.9738123191959236,5.746035947165692e-4,0.029428303419928428,0.9150974177005573,0.9546083721427848,0.9739062905376299,0.9930301828232083,1.0305699166420266,2622.972716184064,1.0001265270787532,relative_fitness,no-meas-error,no-meas-error,7,20191031,1
5.072831834917516,0.004007721704139206,0.20636116435110935,4.685241135069704,4.933877823140048,5.070491603146636,5.210221652396455,5.474878869997928,2651.3119311327596,0.9998338774161918,kappa,no-meas-error,no-meas-error,7,20191031,5
0.959316693203976,5.816937750184029e-4,0.028324012301136695,0.9035727548618064,0.940357243618497,0.959282343502172,0.978471519623641,1.0144046968028542,2370.94083262804,1.0011109440330643,relative_fitness,no-meas-error,no-meas-error,8,20191032,1
5.2816135327843,0.003999874347113021,0.21102682100141817,4.8782719533784205,5.13781709462039,5.2803505506342425,5.417411477265225,5.70318904219455,2783.444820064803,1.000121920624553,kappa,no-meas-error,no-meas-error,8,20191032,5
1.0250728851395015,5.323143707484124e-4,0.02897182434083767,0.96745778457924,1.0058587780509196,1.024786290629946,1.0443291751094534,1.081162318635754,2962.2063255405924,0.9993875029371074,relative_fitness,no-meas-error,no-meas-error,9,20191033,1
5.25342767310782,0.0037570502132143017,0.20349823584998206,4.863966140309063,5.115007029002507,5.249358215681742,5.39123758788096,5.652760448941684,2933.7783429551514,1.0000818320874425,kappa,no-meas-error,no-meas-error,9,20191033,5
1.0299388460317962,5.327165738216464e-4,0.02860074701706027,0.9753086456655218,1.0107239894525464,1.030113025181893,1.0488977143517828,1.0873218487036176,2882.453670363707,1.0013723875971936,relative_fitness,no-meas-error,no-meas-error,10,20191034,1
5.122244858502843,0.004038911083889495,0.20237482103753174,4.736500596537439,4.988355755925245,5.1205439124843934,5.25819794138101,5.530298000641981,2510.639577624263,1.0005582280617666,kappa,no-meas-error,no-meas-error,10,20191034,5
0.9616646956652662,5.285158615572387e-4,0.029252757305708834,0.9039140427712231,0.9418504378102897,0.9618072587373692,0.9817867504345196,1.0195496067548728,3063.4977436041368,1.0006030265744013,relative_fitness,no-meas-error,no-meas-error,11,20191035,1
4.787168699365167,0.00348760483176331,0.18323956332289834,4.427633003566742,4.66602958888782,4.7856461975085365,4.9116153658663695,5.154246498242559,2760.4758682708452,1.0008524933454657,kappa,no-meas-error,no-meas-error,11,20191035,5
1.0232089109807427,6.263124610387287e-4,0.030553780439421283,0.9633398144347735,1.002210155463448,1.0230135613084386,1.0439561996110542,1.084533559901415,2379.840231065636,1.0002009934605238,relative_fitness,no-meas-error,no-meas-error,12,20191036,1
