mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat,term,model,data,index,seed,true_value,filename,nsam
1.0731219959540537,9.563984300730614e-4,0.10319348917572221,0.8689362455665707,1.0034067713622714,1.0737502863297372,1.1426028390816754,1.2753450965188808,11641.980968939506,1.0000702666895622,relative_fitness,meas-error,meas-error,1,20191025,1,meas-error--meas-error--100sims,100
7.4032496073602685,0.021862028888445253,1.4548746060269553,4.937230552252516,6.3581647473540635,7.278365202103269,8.30240587461219,10.679644253733324,4428.638176417118,0.9998857403620173,kappa,meas-error,meas-error,1,20191025,5,meas-error--meas-error--100sims,100
0.7643786619318915,7.98901805068779e-4,0.10189381094312865,0.5644441567250797,0.6958910314956464,0.7641987275073476,0.832529850449545,0.9662363986556808,16267.050183157085,0.9999246837671589,relative_fitness,meas-error,meas-error,2,20191026,1,meas-error--meas-error--100sims,100
6.650775712365201,0.016447106723706785,1.299951523891041,4.4680238804316055,5.734762748004078,6.532481812159954,7.439458195062794,9.515324891770218,6247.054486673965,1.0010408863042917,kappa,meas-error,meas-error,2,20191026,5,meas-error--meas-error--100sims,100
1.1512123074091876,8.915704385917859e-4,0.10234004995063588,0.9492245408569225,1.0824660254385483,1.1515134413913601,1.219950519186704,1.3515116137061631,13175.889032548917,1.000069423519416,relative_fitness,meas-error,meas-error,3,20191027,1,meas-error--meas-error--100sims,100
8.340190101127883,0.026126888353732235,1.777905494475729,5.372868985564263,7.080359361517277,8.158269604400425,9.43779112691513,12.313010893551418,4630.650090711788,1.0006594570230203,kappa,meas-error,meas-error,3,20191027,5,meas-error--meas-error--100sims,100
1.0280257925700786,7.583247089169583e-4,0.10729265233513195,0.8157447549202854,0.9555067949299205,1.0287411209658477,1.1005045124947705,1.2344125525232867,20018.408564251396,0.9999678199761397,relative_fitness,meas-error,meas-error,4,20191028,1,meas-error--meas-error--100sims,100
5.698853159043236,0.01134177226147275,1.032213675588431,3.929987676353711,4.956832433867019,5.614460054620862,6.325075679845183,7.976556412399096,8282.803763646558,0.9999336510914936,kappa,meas-error,meas-error,4,20191028,5,meas-error--meas-error--100sims,100
0.8404789981309961,8.548533940121728e-4,0.0993212176762181,0.6432635778199332,0.7743586528282117,0.8401327678114991,0.9060776857176017,1.0368055153638673,13498.97490891759,1.0006397795837068,relative_fitness,meas-error,meas-error,5,20191029,1,meas-error--meas-error--100sims,100
7.939241356205632,0.017606882097976766,1.4682885947070503,5.438494875108239,6.8960855267984345,7.799203886316814,8.83120381482698,11.162859302625053,6954.372327996321,1.0000027435110412,kappa,meas-error,meas-error,5,20191029,5,meas-error--meas-error--100sims,100
0.7926136782712384,7.680422151878183e-4,0.10293602636425427,0.5892916513171169,0.7238784749678687,0.792089942226317,0.8623837366319334,0.9945527591687612,17962.41041995893,0.9999374545396349,relative_fitness,meas-error,meas-error,6,20191030,1,meas-error--meas-error--100sims,100
5.681457408939879,0.010126209402932334,0.9844559879437355,4.006742071505954,4.9833042235222,5.597668440851915,6.298603013499653,7.827819679670705,9451.45784656877,1.00017976832541,kappa,meas-error,meas-error,6,20191030,5,meas-error--meas-error--100sims,100
1.0827184094359663,9.168783350290728e-4,0.10463291352746698,0.8785763578926293,1.0124484276458707,1.0828728686314266,1.1515246746850039,1.290354663277186,13023.065212333524,1.0001942288774426,relative_fitness,meas-error,meas-error,7,20191031,1,meas-error--meas-error--100sims,100
6.615422844117796,0.0156526856377547,1.2326576838941472,4.468857249718876,5.7451440293740905,6.529783002922623,7.371428637181949,9.318920175364894,6201.649939779218,1.000882340799418,kappa,meas-error,meas-error,7,20191031,5,meas-error--meas-error--100sims,100
0.858881850877391,9.518576299075511e-4,0.10621647091154765,0.6474404183307989,0.7882198186509334,0.8597488562692397,0.9301799731945812,1.0643058294760712,12452.0181331417,0.9998635738909942,relative_fitness,meas-error,meas-error,8,20191032,1,meas-error--meas-error--100sims,100
5.372590869513252,0.01315952764018514,0.9744414233894066,3.7006992939959313,4.685448475395914,5.29806660197098,5.974470872430209,7.479500361291732,5483.159430287459,1.0003325995719246,kappa,meas-error,meas-error,8,20191032,5,meas-error--meas-error--100sims,100
0.9253374490371206,8.514131176229622e-4,0.09748465483652806,0.7332907396327379,0.8597194480327769,0.9257143328791135,0.9908608831584275,1.1174354444938956,13109.67250401944,1.0000047718516847,relative_fitness,meas-error,meas-error,9,20191033,1,meas-error--meas-error--100sims,100
6.924956491579253,0.01457258638995074,1.2384139161296508,4.767347133593047,6.044594765139092,6.837875937666517,7.698375602456682,9.602068775655267,7222.014730471583,0.999993442271343,kappa,meas-error,meas-error,9,20191033,5,meas-error--meas-error--100sims,100
0.900270866164634,8.642507687977646e-4,0.09785805102630338,0.7087348998215123,0.8347676616739732,0.9008095369863044,0.9661519900974086,1.0926622964460448,12820.75422568908,1.0000601551351749,relative_fitness,meas-error,meas-error,10,20191034,1,meas-error--meas-error--100sims,100
8.63021302871372,0.024868891696654113,1.7468418155955117,5.6912531252919525,7.394691822272331,8.458452375473168,9.69229076212117,12.502361685081663,4933.944919331409,1.0006729746796024,kappa,meas-error,meas-error,10,20191034,5,meas-error--meas-error--100sims,100
0.9853482728636438,0.0010015889300681448,0.11067714378188846,0.7679864556457215,0.912096857543912,0.9852493561501934,1.059976986824509,1.1997817548458052,12210.595762128001,1.0000006045624557,relative_fitness,meas-error,meas-error,11,20191035,1,meas-error--meas-error--100sims,100
